pregunta,respuesta
"¿Cómo puedo sacar un turno?","Podés solicitar un turno escribiendo por WhatsApp al consultorio e indicando tu nombre, apellido, obra social y motivo de consulta."
"¿Cuáles son los horarios de atención?","El consultorio atiende de lunes a viernes de 9:00 a 18:00 hs. Los horarios pueden variar según la disponibilidad del profesional."
"¿Dónde queda el consultorio?","El consultorio se encuentra en Córdoba Capital. La dirección exacta se informa al confirmar el turno."
"¿Atienden por obra social?","Sí, el consultorio trabaja con algunas obras sociales. Para confirmar cobertura, indicá cuál es tu obra social al solicitar el turno."
"¿Puedo atenderme de forma particular?","Sí, también se atienden pacientes particulares. El valor de la consulta se informa al momento de solicitar el turno."
"¿Cómo hago para cancelar un turno?","Para cancelar un turno, escribí al WhatsApp del consultorio con tu nombre, apellido y fecha del turno que querés cancelar."
"¿Puedo reprogramar mi turno?","Sí, podés reprogramar tu turno escribiendo al consultorio. Se te ofrecerán nuevas opciones según la disponibilidad."
"¿Qué datos necesito para pedir un turno?","Para pedir un turno necesitás informar nombre, apellido, DNI, obra social si tenés, motivo de consulta y disponibilidad horaria."
"¿Atienden urgencias?","El consultorio no atiende urgencias. En caso de emergencia médica, dirigite a una guardia o llamá al servicio de emergencias correspondiente."
"¿Puedo pedir una receta por WhatsApp?","Las recetas deben ser evaluadas por el profesional. En algunos casos pueden solicitarse por WhatsApp si ya sos paciente del consultorio."
"¿Hacen certificados médicos?","Sí, el profesional puede realizar certificados médicos cuando corresponda, luego de una evaluación en consulta."
"¿Cuánto dura una consulta?","La duración aproximada de una consulta es de 20 a 30 minutos, aunque puede variar según el motivo de atención."
"¿Qué pasa si llego tarde al turno?","Si llegás tarde, el profesional intentará atenderte según la disponibilidad del día. En algunos casos puede ser necesario reprogramar."
"¿Debo llevar estudios anteriores?","Sí, si tenés estudios previos, análisis, recetas o informes médicos, es recomendable llevarlos a la consulta."
"¿Puedo ir acompañado a la consulta?","Sí, podés asistir acompañado si lo necesitás. En algunos casos el ingreso del acompañante puede depender del espacio disponible."
"¿Atienden niños?","La atención a niños depende de la especialidad del profesional. Consultá previamente indicando la edad del paciente."
"¿Cuáles son las formas de pago?","El consultorio acepta efectivo y transferencias. Otros medios de pago pueden consultarse al momento de confirmar el turno."
"¿Entregan factura?","Sí, el consultorio puede emitir comprobante o factura por la atención realizada."
"¿Puedo consultar resultados de estudios por WhatsApp?","Los resultados deben ser evaluados por el profesional. Podés enviarlos por WhatsApp, pero la interpretación se realizará en consulta o según indicación médica."
"¿Cómo confirmo mi turno?","Para confirmar tu turno, respondé el mensaje de confirmación enviado por el consultorio indicando que vas a asistir."
